listing_id,farmer_id,crop,listed_date,harvest_date,market_price_ref,listing_price,quantity_kg,shelf_life_days
LST-000052,FARM-0000,Bhindi (Ladies finger),2023-07-06,2023-07-06,22,24.64,179,4
LST-000053,FARM-0000,Bhindi (Ladies finger),2023-07-28,2023-07-27,30,32.53,95,4
LST-000054,FARM-0000,Bhindi (Ladies finger),2023-06-04,2023-06-03,20,20.13,169,4
LST-000055,FARM-0000,Bhindi (Ladies finger),2023-04-13,2023-04-12,32,32.03,98,4
LST-000056,FARM-0000,Bhindi (Ladies finger),2023-05-16,2023-05-15,20,18.57,47,4
LST-000057,FARM-0000,Bhindi (Ladies finger),2023-03-21,2023-03-21,32,32.43,105,4
LST-000058,FARM-0000,Bhindi (Ladies finger),2023-08-13,2023-08-13,24,22.31,190,4
LST-000059,FARM-0000,Bhindi (Ladies finger),2023-03-13,2023-03-13,29,27.39,164,4
LST-000060,FARM-0000,Bhindi (Ladies finger),2023-10-13,2023-10-13,24,19.62,101,4
LST-000061,FARM-0000,Bhindi (Ladies finger),2023-01-23,2023-01-23,42,47.52,46,4
LST-000062,FARM-0000,Bhindi (Ladies finger),2023-02-06,2023-02-05,40,42.42,175,4
LST-000063,FARM-0000,Bhindi (Ladies finger),2023-10-29,2023-10-28,27,27.73,74,4
LST-000064,FARM-0000,Bhindi (Ladies finger),2023-03-16,2023-03-15,37,39.65,34,4
LST-000065,FARM-0000,Bhindi (Ladies finger),2023-02-16,2023-02-15,28,25.11,18,4
LST-000066,FARM-0000,Bhindi (Ladies finger),2023-07-02,2023-07-01,27,30.53,152,4
LST-000067,FARM-0000,Bhindi (Ladies finger),2023-07-21,2023-07-21,20,19.91,128,4
LST-000068,FARM-0000,Bhindi (Ladies finger),2023-08-20,2023-08-20,20,20.18,26,4
LST-000069,FARM-0000,Bhindi (Ladies finger),2023-11-07,2023-11-07,27,29.76,49,4
LST-000070,FARM-0000,Bhindi (Ladies finger),2023-11-14,2023-11-13,22,24.1,60,4
LST-000071,FARM-0000,Bhindi (Ladies finger),2023-11-21,2023-11-21,35,39.63,159,4
LST-000072,FARM-0000,Bhindi (Ladies finger),2023-08-28,2023-08-28,21,22.59,161,4
LST-000073,FARM-0000,Bhindi (Ladies finger),2023-08-21,2023-08-20,25,22.29,62,4
LST-000074,FARM-0000,Bhindi (Ladies finger),2023-12-10,2023-12-09,42,45.19,78,4
LST-000075,FARM-0000,Bhindi (Ladies finger),2023-09-15,2023-09-15,20,21.23,35,4
LST-000076,FARM-0000,Bhindi (Ladies finger),2023-10-04,2023-10-03,32,33.8,170,4
LST-000077,FARM-0000,Bhindi (Ladies finger),2023-10-16,2023-10-16,32,31.59,48,4
LST-000078,FARM-0000,Bhindi (Ladies finger),2023-09-14,2023-09-14,22,21.87,85,4
LST-000079,FARM-0000,Bhindi (Ladies finger),2023-06-06,2023-06-05,22,22.06,97,4
LST-000080,FARM-0000,Garlic,2023-07-16,2023-07-15,160,185.48,163,90
LST-000081,FARM-0000,Garlic,2023-03-26,2023-03-25,80,87.01,47,90
LST-000082,FARM-0000,Garlic,2023-12-25,2023-12-24,260,288.08,68,90
LST-000083,FARM-0000,Garlic,2023-02-24,2023-02-23,85,75.38,129,90
LST-000084,FARM-0000,Garlic,2023-12-12,2023-12-12,270,254.03,59,90
LST-000085,FARM-0000,Garlic,2023-06-13,2023-06-13,95,92.68,187,90
LST-000086,FARM-0000,Garlic,2023-03-30,2023-03-30,70,80.13,24,90
LST-000087,FARM-0000,Garlic,2023-06-01,2023-06-01,95,86.84,156,90
LST-000088,FARM-0000,Garlic,2023-11-13,2023-11-12,190,194.49,174,90
LST-000089,FARM-0000,Garlic,2023-06-14,2023-06-13,95,86.27,20,90
LST-000090,FARM-0000,Garlic,2023-12-29,2023-12-29,260,274.34,15,90
LST-000091,FARM-0000,Garlic,2023-05-14,2023-05-14,90,80.47,29,90
LST-000092,FARM-0000,Garlic,2023-01-03,2023-01-03,55,53.95,40,90
LST-000093,FARM-0000,Garlic,2023-05-19,2023-05-19,95,82.48,76,90
LST-000094,FARM-0000,Garlic,2023-06-15,2023-06-15,95,106.65,186,90
LST-000095,FARM-0000,Garlic,2023-06-08,2023-06-08,95,101.59,189,90
LST-000096,FARM-0000,Garlic,2023-03-10,2023-03-09,80,85.64,76,90
LST-000097,FARM-0000,Garlic,2023-04-07,2023-04-07,75,75.72,143,90
LST-000098,FARM-0000,Garlic,2023-10-12,2023-10-11,170,172.9,190,90
LST-000099,FARM-0000,Garlic,2023-09-15,2023-09-14,160,160.6,21,90
LST-000100,FARM-0000,Garlic,2023-05-26,2023-05-26,95,83.79,20,90
LST-000101,FARM-0000,Garlic,2023-02-14,2023-02-13,80,67.96,80,90
LST-000102,FARM-0000,Garlic,2023-02-23,2023-02-23,80,65.85,171,90
LST-000103,FARM-0000,Garlic,2023-09-24,2023-09-24,160,162.38,189,90
LST-000104,FARM-0000,Garlic,2023-10-30,2023-10-29,165,158.16,60,90
LST-000105,FARM-0000,Garlic,2023-01-08,2023-01-08,55,50.74,27,90
LST-000106,FARM-0000,Garlic,2023-03-28,2023-03-28,70,63.31,147,90
LST-000107,FARM-0000,Garlic,2023-02-21,2023-02-20,80,87.21,168,90
LST-000108,FARM-0000,Garlic,2023-04-30,2023-04-30,90,89.99,167,90
LST-000109,FARM-0000,Garlic,2023-12-28,2023-12-27,260,274.61,177,90
LST-000110,FARM-0000,Garlic,2024-01-01,2024-01-01,260,257.53,53,90
LST-000111,FARM-0000,Garlic,2023-10-24,2023-10-23,165,179.39,35,90
LST-000112,FARM-0000,Garlic,2023-09-03,2023-09-02,160,166.08,48,90
LST-000113,FARM-0000,Garlic,2023-04-28,2023-04-28,90,91.65,55,90
LST-000114,FARM-0000,Garlic,2023-02-12,2023-02-12,65,73.02,196,90
LST-000115,FARM-0000,Garlic,2023-06-23,2023-06-22,95,97.02,57,90
LST-000116,FARM-0000,Garlic,2023-12-05,2023-12-04,270,280.53,102,90
LST-000117,FARM-0000,Garlic,2023-01-27,2023-01-27,65,61.15,194,90
LST-000118,FARM-0000,Garlic,2023-02-06,2023-02-05,65,53.46,96,90
LST-000119,FARM-0000,Garlic,2023-01-15,2023-01-15,65,63.25,85,90
LST-000120,FARM-0001,Methi,2023-07-25,2023-07-25,7,6.49,92,3
LST-000121,FARM-0001,Methi,2023-04-25,2023-04-24,15,14.32,186,3
LST-000122,FARM-0001,Methi,2023-07-07,2023-07-06,20,21.14,13,3
LST-000123,FARM-0001,Methi,2023-12-15,2023-12-15,15,15.73,19,3
LST-000124,FARM-0001,Methi,2023-02-17,2023-02-16,8,9.09,188,3
LST-000125,FARM-0001,Methi,2023-10-19,2023-10-18,28,27.32,196,3
LST-000126,FARM-0001,Methi,2023-05-17,2023-05-17,15,14.84,62,3
LST-000127,FARM-0001,Methi,2023-09-24,2023-09-24,22,24.7,166,3
LST-000128,FARM-0001,Methi,2023-12-28,2023-12-28,20,19.6,156,3
LST-000129,FARM-0001,Methi,2023-06-18,2023-06-18,16,16.11,173,3
LST-000130,FARM-0001,Methi,2023-05-21,2023-05-20,15,16.15,22,3
LST-000131,FARM-0001,Methi,2023-03-21,2023-03-21,6,4.78,18,3
LST-000132,FARM-0001,Methi,2023-03-28,2023-03-27,10,10.27,113,3
LST-000133,FARM-0001,Methi,2023-05-29,2023-05-29,10,10.07,182,3
LST-000134,FARM-0001,Methi,2023-12-29,2023-12-29,18,19.13,89,3
LST-000135,FARM-0001,Methi,2023-09-21,2023-09-21,22,22.1,74,3
LST-000136,FARM-0001,Methi,2023-07-18,2023-07-17,14,13.84,122,3
LST-000137,FARM-0001,Methi,2023-01-02,2023-01-01,7,7.5,153,3
LST-000138,FARM-0001,Methi,2023-09-17,2023-09-17,17,17.2,130,3
LST-000139,FARM-0001,Methi,2023-12-07,2023-12-07,8,8.61,109,3
LST-000140,FARM-0001,Methi,2023-12-26,2023-12-26,18,17.66,36,3
LST-000141,FARM-0001,Methi,2023-07-31,2023-07-30,7,6.79,19,3
LST-000142,FARM-0001,Methi,2023-10-06,2023-10-06,25,28.44,39,3
LST-000143,FARM-0001,Methi,2023-12-11,2023-12-10,12,10.81,77,3
LST-000144,FARM-0001,Methi,2023-10-17,2023-10-16,30,32.41,36,3
LST-000145,FARM-0001,Methi,2023-01-12,2023-01-12,6,6.37,173,3
LST-000146,FARM-0001,Methi,2023-07-05,2023-07-05,20,18.75,15,3
LST-000147,FARM-0001,Methi,2023-11-24,2023-11-23,8,8.85,159,3
LST-000148,FARM-0001,Methi,2023-02-01,2023-02-01,12,13.38,78,3
LST-000149,FARM-0001,Methi,2023-10-26,2023-10-25,30,28.23,196,3
LST-000150,FARM-0001,Methi,2023-12-08,2023-12-08,10,8.92,21,3
LST-000151,FARM-0001,Methi,2023-06-26,2023-06-26,18,15.91,133,3
LST-000152,FARM-0001,Methi,2023-10-09,2023-10-08,30,29.23,67,3
LST-000153,FARM-0001,Methi,2023-04-19,2023-04-18,14,13.46,129,3
LST-000154,FARM-0001,Methi,2023-11-08,2023-11-08,15,14.65,67,3
LST-000155,FARM-0001,Methi,2023-06-20,2023-06-19,20,20.32,27,3
LST-000156,FARM-0001,Methi,2023-07-23,2023-07-23,10,9.59,47,3
LST-000157,FARM-0001,Methi,2023-02-06,2023-02-06,12,12.37,56,3
LST-000158,FARM-0001,Methi,2023-10-24,2023-10-24,22,24.81,46,3
LST-000159,FARM-0001,Methi,2023-09-08,2023-09-08,13,14.77,177,3
LST-000160,FARM-0002,Green Chilli,2023-09-14,2023-09-13,40,42.95,155,10
LST-000161,FARM-0002,Green Chilli,2023-10-31,2023-10-30,40,42.28,144,10
LST-000162,FARM-0002,Green Chilli,2023-04-13,2023-04-12,40,36.84,112,10
LST-000163,FARM-0002,Green Chilli,2023-09-10,2023-09-10,40,38.71,45,10
LST-000164,FARM-0002,Green Chilli,2023-07-16,2023-07-16,70,64.68,185,10
LST-000165,FARM-0002,Green Chilli,2023-02-15,2023-02-14,40,40.5,169,10
LST-000166,FARM-0002,Green Chilli,2023-01-23,2023-01-23,40,43.62,41,10
LST-000167,FARM-0002,Green Chilli,2023-12-06,2023-12-05,30,28.77,23,10
LST-000168,FARM-0002,Green Chilli,2023-02-22,2023-02-22,30,32.1,185,10
LST-000169,FARM-0002,Green Chilli,2023-02-24,2023-02-23,40,40.88,172,10
LST-000170,FARM-0002,Green Chilli,2023-11-28,2023-11-28,30,27.36,157,10
LST-000171,FARM-0002,Green Chilli,2023-10-27,2023-10-26,50,51.28,81,10
LST-000172,FARM-0002,Green Chilli,2023-06-01,2023-06-01,40,41.36,44,10
LST-000173,FARM-0002,Green Chilli,2023-10-26,2023-10-26,40,39.06,44,10
LST-000174,FARM-0002,Green Chilli,2023-11-13,2023-11-13,40,36.23,65,10
LST-000175,FARM-0002,Green Chilli,2023-10-24,2023-10-23,50,50.98,182,10
LST-000176,FARM-0002,Green Chilli,2023-01-04,2023-01-04,40,40.26,178,10
LST-000177,FARM-0002,Green Chilli,2023-07-02,2023-07-02,80,93.92,91,10
LST-000178,FARM-0002,Green Chilli,2023-04-17,2023-04-17,50,53.3,43,10
LST-000179,FARM-0002,Green Chilli,2023-03-23,2023-03-23,50,50.43,113,10
LST-000180,FARM-0002,Green Chilli,2023-04-30,2023-04-29,30,33.54,82,10
LST-000181,FARM-0002,Green Chilli,2023-11-29,2023-11-29,30,31.9,97,10
LST-000182,FARM-0002,Green Chilli,2023-04-12,2023-04-11,40,44.02,85,10
LST-000183,FARM-0002,Green Chilli,2023-04-24,2023-04-24,30,31.11,164,10
LST-000184,FARM-0002,Green Chilli,2023-09-12,2023-09-11,40,38.15,197,10
LST-000185,FARM-0002,Green Chilli,2023-11-27,2023-11-26,25,26.27,34,10
LST-000186,FARM-0002,Green Chilli,2023-01-24,2023-01-24,35,38.18,142,10
LST-000187,FARM-0002,Green Chilli,2023-09-08,2023-09-08,30,27.92,56,10
LST-000188,FARM-0002,Green Chilli,2023-12-07,2023-12-06,35,39.84,98,10
LST-000189,FARM-0002,Green Chilli,2023-04-11,2023-04-11,40,34.47,34,10
LST-000190,FARM-0002,Green Chilli,2023-12-15,2023-12-14,30,29.88,154,10
LST-000191,FARM-0002,Green Chilli,2023-10-23,2023-10-23,45,49.14,57,10
LST-000192,FARM-0002,Green Chilli,2023-03-14,2023-03-13,40,39.82,168,10
LST-000193,FARM-0002,Green Chilli,2023-08-20,2023-08-20,35,33.2,53,10
LST-000194,FARM-0002,Green Chilli,2023-08-14,2023-08-14,40,42.01,71,10
LST-000195,FARM-0002,Green Chilli,2023-11-08,2023-11-08,30,29.57,65,10
LST-000196,FARM-0002,Green Chilli,2023-12-11,2023-12-11,30,27.97,89,10
LST-000197,FARM-0002,Green Chilli,2023-11-16,2023-11-15,40,39.67,149,10
LST-000198,FARM-0002,Green Chilli,2023-05-14,2023-05-14,30,32.08,150,10
LST-000199,FARM-0002,Green Chilli,2023-04-06,2023-04-05,40,42.59,35,10
LST-000200,FARM-0002,Methi,2023-02-09,2023-02-09,10,9.87,139,3
LST-000201,FARM-0002,Methi,2023-10-15,2023-10-15,35,34.89,70,3
LST-000202,FARM-0002,Methi,2023-10-11,2023-10-10,25,22.61,66,3
LST-000203,FARM-0002,Methi,2023-07-31,2023-07-30,7,7.15,73,3
LST-000204,FARM-0002,Methi,2023-09-19,2023-09-19,20,17.61,48,3
LST-000205,FARM-0002,Methi,2023-08-09,2023-08-09,8,8.52,105,3
LST-000206,FARM-0002,Methi,2023-11-16,2023-11-16,15,15.21,40,3
LST-000207,FARM-0002,Methi,2023-03-12,2023-03-11,6,6.03,86,3
LST-000208,FARM-0002,Methi,2023-07-14,2023-07-13,18,16.03,150,3
LST-000209,FARM-0002,Methi,2023-09-15,2023-09-14,16,16.53,186,3
LST-000210,FARM-0002,Methi,2023-06-08,2023-06-07,15,16.67,12,3
LST-000211,FARM-0002,Methi,2023-10-13,2023-10-13,25,26.45,145,3
LST-000212,FARM-0002,Methi,2023-03-16,2023-03-15,6,5.77,146,3
LST-000213,FARM-0002,Methi,2023-02-13,2023-02-13,7,7.86,103,3
LST-000214,FARM-0002,Methi,2023-10-08,2023-10-08,22,24.64,33,3
LST-000215,FARM-0002,Methi,2023-08-01,2023-07-31,8,7.64,48,3
LST-000216,FARM-0002,Methi,2023-12-12,2023-12-11,13,10.67,180,3
LST-000217,FARM-0002,Methi,2023-11-19,2023-11-19,10,9.9,54,3
LST-000218,FARM-0002,Methi,2023-01-15,2023-01-14,7,6.94,142,3
LST-000219,FARM-0002,Methi,2023-02-23,2023-02-23,5,4.43,32,3
LST-000220,FARM-0002,Methi,2023-01-01,2022-12-31,8,8.03,170,3
LST-000221,FARM-0002,Methi,2023-09-20,2023-09-19,25,27.19,55,3
LST-000222,FARM-0002,Methi,2023-04-03,2023-04-03,10,10.81,148,3
LST-000223,FARM-0002,Methi,2023-05-09,2023-05-09,10,10.81,143,3
LST-000224,FARM-0002,Methi,2023-04-10,2023-04-09,12,12.53,10,3
LST-000225,FARM-0002,Methi,2023-05-24,2023-05-23,12,11.9,110,3
LST-000226,FARM-0002,Methi,2024-01-01,2023-12-31,15,12.3,48,3
LST-000227,FARM-0002,Methi,2023-02-03,2023-02-03,14,14.06,132,3
LST-000228,FARM-0002,Methi,2023-09-17,2023-09-17,17,15.93,89,3
LST-000229,FARM-0002,Methi,2023-11-09,2023-11-08,12,11.69,173,3
LST-000230,FARM-0002,Methi,2023-12-18,2023-12-18,25,22.47,46,3
LST-000231,FARM-0002,Methi,2023-03-20,2023-03-20,7,6.63,188,3
LST-000232,FARM-0002,Methi,2023-02-28,2023-02-28,7,6.93,70,3
LST-000233,FARM-0002,Methi,2023-11-08,2023-11-08,15,12.69,139,3
LST-000234,FARM-0002,Methi,2023-09-18,2023-09-17,20,17.46,29,3
LST-000235,FARM-0002,Methi,2023-02-26,2023-02-25,6,6.68,194,3
LST-000236,FARM-0002,Methi,2023-09-25,2023-09-25,20,20.65,68,3
LST-000237,FARM-0002,Methi,2023-07-28,2023-07-28,10,9.99,39,3
LST-000238,FARM-0002,Methi,2023-08-17,2023-08-17,7,6.61,73,3
LST-000239,FARM-0002,Methi,2023-02-07,2023-02-06,10,10.28,16,3
LST-000240,FARM-0003,Tomato,2023-05-10,2023-05-09,16,19.15,47,7
LST-000241,FARM-0003,Tomato,2023-10-31,2023-10-31,16,17.83,131,7
LST-000242,FARM-0003,Tomato,2023-02-03,2023-02-02,16,18.98,169,7
LST-000243,FARM-0003,Tomato,2023-08-20,2023-08-19,16,17.26,166,7
LST-000244,FARM-0003,Tomato,2023-06-30,2023-06-30,16,20.14,108,7
LST-000245,FARM-0003,Tomato,2023-02-15,2023-02-14,16,17.27,42,7
LST-000246,FARM-0003,Tomato,2023-12-27,2023-12-26,16,16.99,182,7
LST-000247,FARM-0003,Tomato,2023-08-04,2023-08-03,16,16.19,153,7
LST-000248,FARM-0003,Tomato,2023-07-27,2023-07-27,16,17.12,168,7
LST-000249,FARM-0003,Tomato,2023-01-17,2023-01-17,16,19.41,24,7
LST-000250,FARM-0003,Tomato,2023-07-18,2023-07-18,16,19.0,52,7
LST-000251,FARM-0003,Tomato,2023-09-26,2023-09-25,16,18.93,178,7
LST-000252,FARM-0003,Tomato,2023-03-24,2023-03-23,16,18.31,30,7
LST-000253,FARM-0003,Tomato,2023-09-21,2023-09-21,16,18.12,111,7
LST-000254,FARM-0003,Tomato,2023-01-23,2023-01-23,16,18.35,135,7
LST-000255,FARM-0003,Tomato,2023-11-08,2023-11-07,16,19.48,152,7
LST-000256,FARM-0003,Tomato,2023-12-11,2023-12-11,16,18.53,114,7
LST-000257,FARM-0003,Tomato,2023-02-20,2023-02-20,16,15.73,13,7
LST-000258,FARM-0003,Tomato,2023-06-06,2023-06-06,16,22.88,59,7
LST-000259,FARM-0003,Tomato,2023-08-29,2023-08-29,16,17.34,26,7
LST-000260,FARM-0003,Tomato,2023-01-08,2023-01-07,16,16.75,174,7
LST-000261,FARM-0003,Tomato,2023-07-19,2023-07-19,16,18.3,157,7
LST-000262,FARM-0003,Tomato,2023-04-24,2023-04-23,16,20.0,103,7
LST-000263,FARM-0003,Tomato,2023-04-14,2023-04-13,16,19.47,110,7
LST-000264,FARM-0003,Tomato,2023-11-29,2023-11-28,16,17.23,25,7
LST-000265,FARM-0003,Tomato,2023-12-06,2023-12-06,16,18.54,176,7
LST-000266,FARM-0003,Tomato,2023-05-04,2023-05-04,16,17.17,30,7
LST-000267,FARM-0003,Tomato,2023-11-27,2023-11-26,16,18.31,14,7
LST-000268,FARM-0003,Tomato,2023-06-13,2023-06-13,16,16.31,138,7
LST-000269,FARM-0003,Tomato,2023-11-03,2023-11-02,16,18.21,194,7
LST-000270,FARM-0003,Tomato,2023-06-19,2023-06-19,16,19.18,90,7
LST-000271,FARM-0003,Tomato,2023-09-03,2023-09-03,16,20.57,187,7
LST-000272,FARM-0003,Tomato,2023-03-14,2023-03-13,16,18.75,92,7
LST-000273,FARM-0003,Tomato,2023-10-29,2023-10-28,16,16.69,39,7
LST-000274,FARM-0003,Tomato,2023-10-20,2023-10-20,16,17.59,100,7
LST-000275,FARM-0003,Tomato,2023-10-10,2023-10-09,16,16.13,178,7
LST-000276,FARM-0003,Tomato,2023-02-27,2023-02-26,16,17.62,45,7
LST-000277,FARM-0003,Tomato,2023-11-16,2023-11-15,16,17.21,158,7
LST-000278,FARM-0003,Tomato,2023-08-27,2023-08-27,16,18.01,197,7
LST-000279,FARM-0003,Tomato,2023-05-17,2023-05-16,16,17.64,108,7
LST-000280,FARM-0003,Peas,2023-04-16,2023-04-16,65,79.08,19,4
LST-000281,FARM-0003,Peas,2023-06-04,2023-06-03,50,59.04,16,4
LST-000282,FARM-0003,Peas,2023-06-22,2023-06-21,70,74.55,88,4
LST-000283,FARM-0003,Peas,2023-01-12,2023-01-11,23,22.77,192,4
LST-000284,FARM-0003,Peas,2023-09-14,2023-09-14,70,88.11,141,4
LST-000285,FARM-0003,Peas,2023-11-02,2023-11-01,110,127.89,34,4
LST-000286,FARM-0003,Peas,2023-06-02,2023-06-01,60,63.15,71,4
LST-000287,FARM-0003,Peas,2023-09-10,2023-09-09,55,61.18,27,4
LST-000288,FARM-0003,Peas,2023-12-19,2023-12-18,30,39.3,95,4
LST-000289,FARM-0003,Peas,2023-12-22,2023-12-22,40,44.62,190,4
LST-000290,FARM-0003,Peas,2023-12-29,2023-12-29,30,33.43,97,4
LST-000291,FARM-0003,Peas,2023-02-20,2023-02-19,30,35.4,188,4
LST-000292,FARM-0003,Peas,2023-01-04,2023-01-03,25,29.14,55,4
LST-000293,FARM-0003,Peas,2023-03-12,2023-03-11,35,34.36,79,4
LST-000294,FARM-0003,Peas,2023-06-25,2023-06-25,70,80.26,169,4
LST-000295,FARM-0003,Peas,2023-09-12,2023-09-11,65,80.82,103,4
LST-000296,FARM-0003,Peas,2023-06-14,2023-06-14,60,57.78,48,4
LST-000297,FARM-0003,Peas,2023-08-24,2023-08-24,50,62.38,58,4
LST-000298,FARM-0003,Peas,2023-12-12,2023-12-12,40,46.84,51,4
LST-000299,FARM-0003,Peas,2023-07-09,2023-07-09,80,100.8,145,4
LST-000300,FARM-0003,Peas,2023-09-13,2023-09-12,60,66.98,175,4
LST-000301,FARM-0003,Peas,2023-12-27,2023-12-26,40,45.49,167,4
LST-000302,FARM-0003,Peas,2023-01-25,2023-01-24,25,25.42,44,4
LST-000303,FARM-0003,Peas,2023-02-06,2023-02-05,35,38.19,36,4
LST-000304,FARM-0003,Peas,2023-06-15,2023-06-14,60,67.24,22,4
LST-000305,FARM-0003,Peas,2023-04-05,2023-04-05,60,72.33,62,4
LST-000306,FARM-0003,Peas,2023-09-04,2023-09-03,50,55.37,89,4
LST-000307,FARM-0003,Peas,2024-01-01,2023-12-31,40,46.25,82,4
LST-000308,FARM-0003,Peas,2023-05-15,2023-05-14,60,70.2,132,4
LST-000309,FARM-0003,Peas,2023-07-31,2023-07-31,120,143.36,49,4
LST-000310,FARM-0003,Peas,2023-09-18,2023-09-17,90,102.69,100,4
LST-000311,FARM-0003,Peas,2023-06-08,2023-06-08,60,57.68,162,4
LST-000312,FARM-0003,Peas,2023-09-17,2023-09-17,70,79.53,161,4
LST-000313,FARM-0003,Peas,2023-12-20,2023-12-20,35,36.14,23,4
LST-000314,FARM-0003,Peas,2023-11-26,2023-11-25,40,49.28,93,4
LST-000315,FARM-0003,Peas,2023-03-08,2023-03-08,30,35.52,32,4
LST-000316,FARM-0003,Peas,2023-04-25,2023-04-25,70,81.96,118,4
LST-000317,FARM-0003,Peas,2023-10-09,2023-10-09,140,173.68,82,4
LST-000318,FARM-0003,Peas,2023-03-03,2023-03-03,25,30.7,13,4
LST-000319,FARM-0003,Peas,2023-05-18,2023-05-18,55,60.09,93,4
LST-000320,FARM-0004,Brinjal,2023-06-25,2023-06-24,35,35.73,165,5
LST-000321,FARM-0004,Brinjal,2023-03-03,2023-03-03,20,20.51,59,5
LST-000322,FARM-0004,Brinjal,2023-01-04,2023-01-03,25,23.9,78,5
LST-000323,FARM-0004,Brinjal,2023-07-14,2023-07-14,35,31.92,99,5
