order_id,consumer_id,farmer_id,crop,distance_km,quantity_kg,local_emissions_kg_co2,baseline_emissions_kg_co2,emissions_saved_kg_co2,pct_reduction_vs_baseline,sustainability_score
ORD-000060,CONS-0190,FARM-0017,Methi,7.0,5,0.0042,0.52,0.5158,99.2,99.2
ORD-000061,CONS-0253,FARM-0093,Tomato,10.0,3,0.0036,0.312,0.3084,98.8,98.8
ORD-000062,CONS-0293,FARM-0119,Tomato,9.0,8,0.0086,0.832,0.8234,99.0,99.0
ORD-000063,CONS-0569,FARM-0132,Methi,6.2,7,0.0052,0.728,0.7228,99.3,99.3
ORD-000064,CONS-0279,FARM-0009,Elephant Yam (Suran),17.5,1,0.0021,0.104,0.1019,98.0,98.0
ORD-000065,CONS-0677,FARM-0021,Green Chilli,5.3,4,0.0025,0.416,0.4135,99.4,99.4
ORD-000066,CONS-0678,FARM-0019,Potato,6.3,4,0.003,0.416,0.413,99.3,99.3
ORD-000067,CONS-0464,FARM-0042,Potato,2.1,6,0.0015,0.624,0.6225,99.8,99.8
ORD-000068,CONS-0798,FARM-0093,Methi,3.4,4,0.0016,0.416,0.4144,99.6,99.6
ORD-000069,CONS-0712,FARM-0074,Methi,5.5,2,0.0013,0.208,0.2067,99.4,99.4
ORD-000070,CONS-0345,FARM-0007,Methi,4.4,6,0.0032,0.624,0.6208,99.5,99.5
ORD-000071,CONS-0128,FARM-0110,Green Chilli,4.5,1,0.0005,0.104,0.1035,99.5,99.5
ORD-000072,CONS-0120,FARM-0126,Brinjal,3.5,9,0.0038,0.936,0.9322,99.6,99.6
ORD-000073,CONS-0149,FARM-0021,Bhindi (Ladies finger),2.3,4,0.0011,0.416,0.4149,99.7,99.7
ORD-000074,CONS-0490,FARM-0109,Methi,12.9,3,0.0046,0.312,0.3074,98.5,98.5
ORD-000075,CONS-0473,FARM-0021,Bhindi (Ladies finger),3.4,7,0.0029,0.728,0.7251,99.6,99.6
ORD-000076,CONS-0118,FARM-0124,Elephant Yam (Suran),21.1,9,0.0228,0.936,0.9132,97.6,97.6
ORD-000077,CONS-0191,FARM-0135,Onion,12.9,9,0.0139,0.936,0.9221,98.5,98.5
ORD-000078,CONS-0550,FARM-0033,Tomato,8.8,6,0.0063,0.624,0.6177,99.0,99.0
ORD-000079,CONS-0261,FARM-0119,Tomato,7.4,9,0.008,0.936,0.928,99.1,99.1
ORD-000080,CONS-0393,FARM-0130,Methi,36.4,1,0.0044,0.104,0.0996,95.8,95.8
ORD-000081,CONS-0000,FARM-0001,Methi,14.0,1,0.0017,0.104,0.1023,98.4,98.4
ORD-000082,CONS-0333,FARM-0123,Methi,8.2,2,0.002,0.208,0.206,99.0,99.0
ORD-000083,CONS-0244,FARM-0056,Bhindi (Ladies finger),10.3,3,0.0037,0.312,0.3083,98.8,98.8
ORD-000084,CONS-0651,FARM-0056,Bhindi (Ladies finger),5.0,2,0.0012,0.208,0.2068,99.4,99.4
ORD-000085,CONS-0490,FARM-0080,Bhindi (Ladies finger),3.8,9,0.0041,0.936,0.9319,99.6,99.6
ORD-000086,CONS-0209,FARM-0132,Methi,9.1,6,0.0066,0.624,0.6174,98.9,98.9
ORD-000087,CONS-0595,FARM-0056,Bhindi (Ladies finger),16.8,8,0.0161,0.832,0.8159,98.1,98.1
ORD-000088,CONS-0372,FARM-0097,Tomato,9.4,2,0.0023,0.208,0.2057,98.9,98.9
ORD-000089,CONS-0499,FARM-0149,Elephant Yam (Suran),16.1,5,0.0097,0.52,0.5103,98.1,98.1
ORD-000090,CONS-0784,FARM-0037,Tomato,1.6,8,0.0015,0.832,0.8305,99.8,99.8
ORD-000091,CONS-0170,FARM-0142,Methi,10.4,5,0.0062,0.52,0.5138,98.8,98.8
ORD-000092,CONS-0483,FARM-0086,Tomato,2.8,8,0.0027,0.832,0.8293,99.7,99.7
ORD-000093,CONS-0262,FARM-0086,Tomato,7.7,4,0.0037,0.416,0.4123,99.1,99.1
ORD-000094,CONS-0012,FARM-0114,Tomato,10.8,8,0.0104,0.832,0.8216,98.8,98.8
ORD-000095,CONS-0795,FARM-0127,Tomato,3.9,3,0.0014,0.312,0.3106,99.6,99.6
ORD-000096,CONS-0478,FARM-0005,Onion,3.4,8,0.0033,0.832,0.8287,99.6,99.6
ORD-000097,CONS-0775,FARM-0144,Brinjal,3.5,3,0.0013,0.312,0.3107,99.6,99.6
ORD-000098,CONS-0197,FARM-0093,Methi,5.2,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000099,CONS-0594,FARM-0037,Tomato,9.6,4,0.0046,0.416,0.4114,98.9,98.9
ORD-000100,CONS-0044,FARM-0036,Onion,23.4,4,0.0112,0.416,0.4048,97.3,97.3
ORD-000101,CONS-0087,FARM-0048,Bhindi (Ladies finger),11.8,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000102,CONS-0477,FARM-0006,Potato,18.6,2,0.0045,0.208,0.2035,97.8,97.8
ORD-000103,CONS-0074,FARM-0019,Potato,4.1,6,0.003,0.624,0.621,99.5,99.5
ORD-000104,CONS-0772,FARM-0005,Onion,2.6,4,0.0012,0.416,0.4148,99.7,99.7
ORD-000105,CONS-0730,FARM-0142,Methi,5.5,1,0.0007,0.104,0.1033,99.3,99.3
ORD-000106,CONS-0592,FARM-0001,Methi,9.2,3,0.0033,0.312,0.3087,98.9,98.9
ORD-000107,CONS-0725,FARM-0023,Tomato,19.5,3,0.007,0.312,0.305,97.8,97.8
ORD-000108,CONS-0119,FARM-0016,Methi,15.2,9,0.0164,0.936,0.9196,98.2,98.2
ORD-000109,CONS-0335,FARM-0027,Bhindi (Ladies finger),5.3,2,0.0013,0.208,0.2067,99.4,99.4
ORD-000110,CONS-0740,FARM-0016,Methi,18.3,2,0.0044,0.208,0.2036,97.9,97.9
ORD-000111,CONS-0675,FARM-0056,Peas,7.4,1,0.0009,0.104,0.1031,99.1,99.1
ORD-000112,CONS-0024,FARM-0112,Onion,24.7,4,0.0119,0.416,0.4041,97.1,97.1
ORD-000113,CONS-0727,FARM-0135,Onion,17.2,8,0.0165,0.832,0.8155,98.0,98.0
ORD-000114,CONS-0795,FARM-0097,Tomato,5.4,2,0.0013,0.208,0.2067,99.4,99.4
ORD-000115,CONS-0730,FARM-0016,Methi,12.5,8,0.012,0.832,0.82,98.6,98.6
ORD-000116,CONS-0506,FARM-0050,Tomato,10.5,5,0.0063,0.52,0.5137,98.8,98.8
ORD-000117,CONS-0044,FARM-0125,Elephant Yam (Suran),5.7,1,0.0007,0.104,0.1033,99.3,99.3
ORD-000118,CONS-0589,FARM-0121,Potato,7.9,9,0.0085,0.936,0.9275,99.1,99.1
ORD-000119,CONS-0086,FARM-0053,Onion,26.4,8,0.0253,0.832,0.8067,97.0,97.0
ORD-000120,CONS-0047,FARM-0107,Potato,9.6,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000121,CONS-0727,FARM-0135,Tomato,17.2,2,0.0041,0.208,0.2039,98.0,98.0
ORD-000122,CONS-0680,FARM-0016,Brinjal,14.6,9,0.0158,0.936,0.9202,98.3,98.3
ORD-000123,CONS-0785,FARM-0050,Tomato,11.2,2,0.0027,0.208,0.2053,98.7,98.7
ORD-000124,CONS-0650,FARM-0109,Methi,11.9,6,0.0086,0.624,0.6154,98.6,98.6
ORD-000125,CONS-0257,FARM-0125,Elephant Yam (Suran),5.8,2,0.0014,0.208,0.2066,99.3,99.3
ORD-000126,CONS-0670,FARM-0142,Peas,5.8,1,0.0007,0.104,0.1033,99.3,99.3
ORD-000127,CONS-0646,FARM-0025,Tomato,7.0,4,0.0034,0.416,0.4126,99.2,99.2
ORD-000128,CONS-0503,FARM-0017,Bhindi (Ladies finger),7.2,3,0.0026,0.312,0.3094,99.2,99.2
ORD-000129,CONS-0467,FARM-0111,Methi,10.1,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000130,CONS-0396,FARM-0132,Methi,8.6,3,0.0031,0.312,0.3089,99.0,99.0
ORD-000131,CONS-0338,FARM-0133,Potato,4.2,6,0.003,0.624,0.621,99.5,99.5
ORD-000132,CONS-0272,FARM-0132,Methi,9.7,4,0.0047,0.416,0.4113,98.9,98.9
ORD-000133,CONS-0337,FARM-0135,Tomato,12.4,5,0.0074,0.52,0.5126,98.6,98.6
ORD-000134,CONS-0087,FARM-0135,Onion,15.4,5,0.0092,0.52,0.5108,98.2,98.2
ORD-000135,CONS-0286,FARM-0041,Onion,7.2,8,0.0069,0.832,0.8251,99.2,99.2
ORD-000136,CONS-0611,FARM-0040,Methi,8.1,3,0.0029,0.312,0.3091,99.1,99.1
ORD-000137,CONS-0658,FARM-0142,Methi,5.6,2,0.0013,0.208,0.2067,99.4,99.4
ORD-000138,CONS-0310,FARM-0006,Potato,18.1,1,0.0022,0.104,0.1018,97.9,97.9
ORD-000139,CONS-0632,FARM-0022,Methi,18.8,4,0.009,0.416,0.407,97.8,97.8
ORD-000140,CONS-0188,FARM-0136,Garlic,9.1,3,0.0033,0.312,0.3087,98.9,98.9
ORD-000141,CONS-0044,FARM-0017,Methi,7.7,6,0.0055,0.624,0.6185,99.1,99.1
ORD-000142,CONS-0683,FARM-0117,Brinjal,4.0,3,0.0014,0.312,0.3106,99.6,99.6
ORD-000143,CONS-0503,FARM-0005,Onion,4.1,8,0.0039,0.832,0.8281,99.5,99.5
ORD-000144,CONS-0077,FARM-0031,Elephant Yam (Suran),9.4,7,0.0079,0.728,0.7201,98.9,98.9
ORD-000145,CONS-0596,FARM-0138,Brinjal,11.6,2,0.0028,0.208,0.2052,98.7,98.7
ORD-000146,CONS-0392,FARM-0126,Potato,12.4,3,0.0045,0.312,0.3075,98.6,98.6
ORD-000147,CONS-0007,FARM-0080,Bhindi (Ladies finger),10.2,5,0.0061,0.52,0.5139,98.8,98.8
ORD-000148,CONS-0573,FARM-0062,Brinjal,4.2,6,0.003,0.624,0.621,99.5,99.5
ORD-000149,CONS-0360,FARM-0052,Methi,8.5,2,0.002,0.208,0.206,99.0,99.0
ORD-000150,CONS-0691,FARM-0142,Methi,4.8,5,0.0029,0.52,0.5171,99.4,99.4
ORD-000151,CONS-0470,FARM-0142,Methi,4.1,8,0.0039,0.832,0.8281,99.5,99.5
ORD-000152,CONS-0150,FARM-0117,Elephant Yam (Suran),2.6,5,0.0016,0.52,0.5184,99.7,99.7
ORD-000153,CONS-0356,FARM-0010,Onion,11.4,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000154,CONS-0080,FARM-0113,Elephant Yam (Suran),17.7,9,0.0191,0.936,0.9169,98.0,98.0
ORD-000155,CONS-0328,FARM-0005,Elephant Yam (Suran),6.1,2,0.0015,0.208,0.2065,99.3,99.3
ORD-000156,CONS-0614,FARM-0023,Tomato,16.3,2,0.0039,0.208,0.2041,98.1,98.1
ORD-000157,CONS-0400,FARM-0068,Elephant Yam (Suran),15.2,7,0.0128,0.728,0.7152,98.2,98.2
ORD-000158,CONS-0192,FARM-0144,Brinjal,6.1,9,0.0066,0.936,0.9294,99.3,99.3
ORD-000159,CONS-0324,FARM-0110,Tomato,8.4,8,0.0081,0.832,0.8239,99.0,99.0
ORD-000160,CONS-0210,FARM-0136,Green Chilli,15.1,8,0.0145,0.832,0.8175,98.3,98.3
ORD-000161,CONS-0524,FARM-0006,Methi,11.2,5,0.0067,0.52,0.5133,98.7,98.7
ORD-000162,CONS-0170,FARM-0137,Bhindi (Ladies finger),4.6,7,0.0039,0.728,0.7241,99.5,99.5
ORD-000163,CONS-0046,FARM-0007,Methi,0.5,6,0.0004,0.624,0.6236,99.9,99.9
ORD-000164,CONS-0170,FARM-0121,Methi,8.5,7,0.0071,0.728,0.7209,99.0,99.0
ORD-000165,CONS-0278,FARM-0137,Bhindi (Ladies finger),6.4,7,0.0054,0.728,0.7226,99.3,99.3
ORD-000166,CONS-0177,FARM-0133,Potato,8.5,9,0.0092,0.936,0.9268,99.0,99.0
ORD-000167,CONS-0670,FARM-0015,Methi,6.2,5,0.0037,0.52,0.5163,99.3,99.3
ORD-000168,CONS-0616,FARM-0081,Onion,15.9,4,0.0076,0.416,0.4084,98.2,98.2
ORD-000169,CONS-0719,FARM-0111,Methi,7.7,8,0.0074,0.832,0.8246,99.1,99.1
ORD-000170,CONS-0540,FARM-0022,Methi,12.9,8,0.0124,0.832,0.8196,98.5,98.5
ORD-000171,CONS-0658,FARM-0064,Tomato,11.1,2,0.0027,0.208,0.2053,98.7,98.7
ORD-000172,CONS-0026,FARM-0067,Methi,9.0,7,0.0076,0.728,0.7204,99.0,99.0
ORD-000173,CONS-0694,FARM-0000,Tomato,20.2,1,0.0024,0.104,0.1016,97.7,97.7
ORD-000174,CONS-0753,FARM-0006,Potato,17.6,4,0.0084,0.416,0.4076,98.0,98.0
ORD-000175,CONS-0547,FARM-0009,Onion,20.4,2,0.0049,0.208,0.2031,97.6,97.6
ORD-000176,CONS-0659,FARM-0138,Brinjal,11.5,8,0.011,0.832,0.821,98.7,98.7
ORD-000177,CONS-0077,FARM-0062,Elephant Yam (Suran),6.7,6,0.0048,0.624,0.6192,99.2,99.2
ORD-000178,CONS-0333,FARM-0100,Onion,26.4,9,0.0285,0.936,0.9075,97.0,97.0
ORD-000179,CONS-0075,FARM-0006,Methi,17.7,1,0.0021,0.104,0.1019,98.0,98.0
ORD-000180,CONS-0338,FARM-0141,Elephant Yam (Suran),8.7,7,0.0073,0.728,0.7207,99.0,99.0
ORD-000181,CONS-0526,FARM-0047,Onion,21.4,6,0.0154,0.624,0.6086,97.5,97.5
ORD-000182,CONS-0526,FARM-0119,Tomato,1.8,3,0.0006,0.312,0.3114,99.8,99.8
ORD-000183,CONS-0625,FARM-0001,Methi,15.9,1,0.0019,0.104,0.1021,98.2,98.2
ORD-000184,CONS-0204,FARM-0064,Tomato,19.5,8,0.0187,0.832,0.8133,97.8,97.8
ORD-000185,CONS-0501,FARM-0019,Potato,3.0,4,0.0014,0.416,0.4146,99.7,99.7
ORD-000186,CONS-0199,FARM-0005,Onion,8.1,1,0.001,0.104,0.103,99.0,99.0
ORD-000187,CONS-0300,FARM-0000,Tomato,14.5,8,0.0139,0.832,0.8181,98.3,98.3
ORD-000188,CONS-0698,FARM-0002,Methi,4.9,9,0.0053,0.936,0.9307,99.4,99.4
ORD-000189,CONS-0683,FARM-0142,Methi,6.3,8,0.006,0.832,0.826,99.3,99.3
ORD-000190,CONS-0487,FARM-0111,Methi,5.3,5,0.0032,0.52,0.5168,99.4,99.4
ORD-000191,CONS-0106,FARM-0128,Brinjal,20.4,1,0.0024,0.104,0.1016,97.7,97.7
ORD-000192,CONS-0050,FARM-0086,Tomato,8.1,1,0.001,0.104,0.103,99.0,99.0
ORD-000193,CONS-0481,FARM-0033,Tomato,9.2,6,0.0066,0.624,0.6174,98.9,98.9
ORD-000194,CONS-0686,FARM-0062,Elephant Yam (Suran),1.6,6,0.0012,0.624,0.6228,99.8,99.8
ORD-000195,CONS-0301,FARM-0086,Tomato,5.4,7,0.0045,0.728,0.7235,99.4,99.4
ORD-000196,CONS-0131,FARM-0000,Bhindi (Ladies finger),18.4,5,0.011,0.52,0.509,97.9,97.9
ORD-000197,CONS-0138,FARM-0067,Methi,11.5,4,0.0055,0.416,0.4105,98.7,98.7
ORD-000198,CONS-0537,FARM-0041,Onion,10.6,7,0.0089,0.728,0.7191,98.8,98.8
ORD-000199,CONS-0052,FARM-0108,Brinjal,17.9,3,0.0064,0.312,0.3056,97.9,97.9
ORD-000200,CONS-0255,FARM-0136,Green Chilli,11.3,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000201,CONS-0583,FARM-0048,Peas,12.4,6,0.0089,0.624,0.6151,98.6,98.6
ORD-000202,CONS-0647,FARM-0135,Tomato,11.6,5,0.007,0.52,0.513,98.7,98.7
ORD-000203,CONS-0431,FARM-0104,Potato,6.7,2,0.0016,0.208,0.2064,99.2,99.2
ORD-000204,CONS-0554,FARM-0086,Tomato,3.5,1,0.0004,0.104,0.1036,99.6,99.6
ORD-000205,CONS-0653,FARM-0135,Onion,9.6,2,0.0023,0.208,0.2057,98.9,98.9
ORD-000206,CONS-0751,FARM-0074,Methi,12.7,5,0.0076,0.52,0.5124,98.5,98.5
ORD-000207,CONS-0740,FARM-0142,Methi,2.6,2,0.0006,0.208,0.2074,99.7,99.7
ORD-000208,CONS-0037,FARM-0126,Potato,6.7,4,0.0032,0.416,0.4128,99.2,99.2
ORD-000209,CONS-0117,FARM-0097,Tomato,9.9,8,0.0095,0.832,0.8225,98.9,98.9
ORD-000210,CONS-0151,FARM-0052,Methi,3.1,5,0.0019,0.52,0.5181,99.6,99.6
ORD-000211,CONS-0571,FARM-0033,Tomato,9.6,9,0.0104,0.936,0.9256,98.9,98.9
ORD-000212,CONS-0176,FARM-0063,Bhindi (Ladies finger),9.7,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000213,CONS-0739,FARM-0005,Onion,7.7,1,0.0009,0.104,0.1031,99.1,99.1
ORD-000214,CONS-0734,FARM-0093,Tomato,4.9,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000215,CONS-0381,FARM-0129,Brinjal,10.1,6,0.0073,0.624,0.6167,98.8,98.8
ORD-000216,CONS-0645,FARM-0093,Tomato,6.2,8,0.006,0.832,0.826,99.3,99.3
ORD-000217,CONS-0473,FARM-0002,Methi,11.8,8,0.0113,0.832,0.8207,98.6,98.6
ORD-000218,CONS-0757,FARM-0006,Methi,14.2,4,0.0068,0.416,0.4092,98.4,98.4
ORD-000219,CONS-0020,FARM-0081,Onion,19.7,2,0.0047,0.208,0.2033,97.7,97.7
ORD-000220,CONS-0172,FARM-0109,Methi,10.7,7,0.009,0.728,0.719,98.8,98.8
ORD-000221,CONS-0199,FARM-0108,Brinjal,15.8,1,0.0019,0.104,0.1021,98.2,98.2
ORD-000222,CONS-0404,FARM-0121,Bhindi (Ladies finger),7.1,1,0.0009,0.104,0.1031,99.1,99.1
ORD-000223,CONS-0638,FARM-0104,Potato,7.5,7,0.0063,0.728,0.7217,99.1,99.1
ORD-000224,CONS-0161,FARM-0111,Methi,6.3,3,0.0023,0.312,0.3097,99.3,99.3
ORD-000225,CONS-0703,FARM-0132,Methi,6.5,1,0.0008,0.104,0.1032,99.2,99.2
ORD-000226,CONS-0049,FARM-0066,Potato,11.5,3,0.0041,0.312,0.3079,98.7,98.7
ORD-000227,CONS-0573,FARM-0015,Methi,11.5,2,0.0028,0.208,0.2052,98.7,98.7
ORD-000228,CONS-0775,FARM-0144,Brinjal,3.5,8,0.0034,0.832,0.8286,99.6,99.6
ORD-000229,CONS-0064,FARM-0005,Elephant Yam (Suran),6.5,5,0.0039,0.52,0.5161,99.2,99.2
ORD-000230,CONS-0389,FARM-0117,Brinjal,12.5,4,0.006,0.416,0.41,98.6,98.6
ORD-000231,CONS-0538,FARM-0105,Onion,10.0,6,0.0072,0.624,0.6168,98.8,98.8
ORD-000232,CONS-0552,FARM-0056,Bhindi (Ladies finger),8.5,9,0.0092,0.936,0.9268,99.0,99.0
ORD-000233,CONS-0245,FARM-0109,Methi,21.1,9,0.0228,0.936,0.9132,97.6,97.6
ORD-000234,CONS-0185,FARM-0132,Methi,8.4,4,0.004,0.416,0.412,99.0,99.0
ORD-000235,CONS-0365,FARM-0080,Green Chilli,3.9,8,0.0037,0.832,0.8283,99.6,99.6
ORD-000236,CONS-0460,FARM-0110,Tomato,8.1,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000237,CONS-0340,FARM-0067,Brinjal,9.9,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000238,CONS-0753,FARM-0017,Methi,7.6,9,0.0082,0.936,0.9278,99.1,99.1
ORD-000239,CONS-0704,FARM-0025,Tomato,8.5,1,0.001,0.104,0.103,99.0,99.0
ORD-000240,CONS-0609,FARM-0135,Onion,11.3,3,0.0041,0.312,0.3079,98.7,98.7
ORD-000241,CONS-0351,FARM-0017,Methi,1.9,7,0.0016,0.728,0.7264,99.8,99.8
ORD-000242,CONS-0644,FARM-0006,Methi,8.5,1,0.001,0.104,0.103,99.0,99.0
ORD-000243,CONS-0107,FARM-0111,Methi,3.3,4,0.0016,0.416,0.4144,99.6,99.6
ORD-000244,CONS-0334,FARM-0126,Potato,10.7,8,0.0103,0.832,0.8217,98.8,98.8
ORD-000245,CONS-0393,FARM-0017,Methi,12.2,4,0.0059,0.416,0.4101,98.6,98.6
ORD-000246,CONS-0694,FARM-0017,Bhindi (Ladies finger),8.1,7,0.0068,0.728,0.7212,99.1,99.1
ORD-000247,CONS-0738,FARM-0015,Methi,7.7,3,0.0028,0.312,0.3092,99.1,99.1
ORD-000248,CONS-0200,FARM-0133,Potato,11.6,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000249,CONS-0746,FARM-0041,Onion,10.4,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000250,CONS-0064,FARM-0006,Potato,14.6,2,0.0035,0.208,0.2045,98.3,98.3
ORD-000251,CONS-0195,FARM-0141,Methi,15.6,6,0.0112,0.624,0.6128,98.2,98.2
ORD-000252,CONS-0739,FARM-0017,Methi,10.3,2,0.0025,0.208,0.2055,98.8,98.8
