order_id,consumer_id,listing_id,farmer_id,crop,order_date,quantity_kg,unit_price,order_value,distance_km
ORD-000065,CONS-0677,LST-001724,FARM-0021,Green Chilli,2023-02-20,4,43.99,175.96,5.3
ORD-000066,CONS-0678,LST-001580,FARM-0019,Potato,2023-03-19,4,16.85,67.4,6.3
ORD-000067,CONS-0464,LST-003127,FARM-0042,Potato,2023-05-17,6,24.45,146.7,2.1
ORD-000068,CONS-0798,LST-007102,FARM-0093,Methi,2023-04-13,4,13.77,55.08,3.4
ORD-000069,CONS-0712,LST-005680,FARM-0074,Methi,2023-06-06,2,9.58,19.16,5.5
ORD-000070,CONS-0345,LST-000593,FARM-0007,Methi,2023-05-11,6,10.78,64.68,4.4
ORD-000071,CONS-0128,LST-008280,FARM-0110,Green Chilli,2023-08-30,1,31.32,31.32,4.5
ORD-000072,CONS-0120,LST-009864,FARM-0126,Brinjal,2023-11-11,9,13.51,121.59,3.5
ORD-000073,CONS-0149,LST-001692,FARM-0021,Bhindi (Ladies finger),2023-11-09,4,26.1,104.4,2.3
ORD-000074,CONS-0490,LST-008202,FARM-0109,Methi,2023-04-25,3,12.77,38.31,12.9
ORD-000075,CONS-0473,LST-001694,FARM-0021,Bhindi (Ladies finger),2023-08-20,7,18.89,132.23,3.4
ORD-000076,CONS-0118,LST-009745,FARM-0124,Elephant Yam (Suran),2023-12-19,9,32.26,290.34,21.1
ORD-000077,CONS-0191,LST-010484,FARM-0135,Onion,2023-04-21,9,10.73,96.57,12.9
ORD-000078,CONS-0550,LST-002560,FARM-0033,Tomato,2023-12-22,6,15.71,94.26,8.8
ORD-000079,CONS-0261,LST-009143,FARM-0119,Tomato,2023-11-22,9,17.49,157.41,7.4
ORD-000080,CONS-0393,LST-010194,FARM-0130,Methi,2023-04-03,1,10.25,10.25,36.4
ORD-000081,CONS-0000,LST-000126,FARM-0001,Methi,2023-05-19,1,14.84,14.84,14.0
ORD-000082,CONS-0333,LST-009618,FARM-0123,Methi,2023-09-05,2,12.46,24.92,8.2
ORD-000083,CONS-0244,LST-004457,FARM-0056,Bhindi (Ladies finger),2023-09-08,3,23.32,69.96,10.3
ORD-000084,CONS-0651,LST-004475,FARM-0056,Bhindi (Ladies finger),2023-12-06,2,37.84,75.68,5.0
ORD-000085,CONS-0490,LST-006054,FARM-0080,Bhindi (Ladies finger),2023-09-16,9,22.33,200.97,3.8
ORD-000086,CONS-0209,LST-010322,FARM-0132,Methi,2023-08-13,6,7.41,44.46,9.1
ORD-000087,CONS-0595,LST-004453,FARM-0056,Bhindi (Ladies finger),2023-10-05,8,29.72,237.76,16.8
ORD-000088,CONS-0372,LST-007331,FARM-0097,Tomato,2023-08-01,2,17.4,34.8,9.4
ORD-000089,CONS-0499,LST-011590,FARM-0149,Elephant Yam (Suran),2023-06-18,5,16.01,80.05,16.1
ORD-000090,CONS-0784,LST-002914,FARM-0037,Tomato,2023-08-15,8,13.65,109.2,1.6
ORD-000091,CONS-0170,LST-011081,FARM-0142,Methi,2023-08-11,5,6.06,30.3,10.4
ORD-000092,CONS-0483,LST-006489,FARM-0086,Tomato,2023-02-27,8,14.49,115.92,2.8
ORD-000093,CONS-0262,LST-006518,FARM-0086,Tomato,2023-09-14,4,15.76,63.04,7.7
ORD-000094,CONS-0012,LST-008728,FARM-0114,Tomato,2023-01-12,8,18.69,149.52,10.8
ORD-000095,CONS-0795,LST-009933,FARM-0127,Tomato,2023-03-10,3,16.72,50.16,3.9
ORD-000096,CONS-0478,LST-000386,FARM-0005,Onion,2023-03-27,8,12.17,97.36,3.4
ORD-000097,CONS-0775,LST-011190,FARM-0144,Brinjal,2023-02-22,3,27.35,82.05,3.5
ORD-000098,CONS-0197,LST-007103,FARM-0093,Methi,2023-06-21,1,17.78,17.78,5.2
ORD-000099,CONS-0594,LST-002884,FARM-0037,Tomato,2023-03-25,4,16.07,64.28,9.6
ORD-000100,CONS-0044,LST-002800,FARM-0036,Onion,2023-07-03,4,17.83,71.32,23.4
ORD-000101,CONS-0087,LST-003727,FARM-0048,Bhindi (Ladies finger),2023-07-07,1,23.76,23.76,11.8
ORD-000102,CONS-0477,LST-000450,FARM-0006,Potato,2023-01-25,2,21.53,43.06,18.6
ORD-000103,CONS-0074,LST-001576,FARM-0019,Potato,2023-07-11,6,24.37,146.22,4.1
ORD-000104,CONS-0772,LST-000368,FARM-0005,Onion,2023-03-01,4,11.39,45.56,2.6
ORD-000105,CONS-0730,LST-011115,FARM-0142,Methi,2023-02-21,1,5.03,5.03,5.5
ORD-000106,CONS-0592,LST-000150,FARM-0001,Methi,2023-12-10,3,8.92,26.76,9.2
ORD-000107,CONS-0725,LST-001836,FARM-0023,Tomato,2023-08-10,3,17.89,53.67,19.5
ORD-000108,CONS-0119,LST-001362,FARM-0016,Methi,2023-03-25,9,7.03,63.27,15.2
ORD-000109,CONS-0335,LST-002124,FARM-0027,Bhindi (Ladies finger),2023-06-29,2,30.77,61.54,5.3
ORD-000110,CONS-0740,LST-001388,FARM-0016,Methi,2023-03-29,2,8.71,17.42,18.3
ORD-000111,CONS-0675,LST-004391,FARM-0056,Peas,2023-12-14,1,40.25,40.25,7.4
ORD-000112,CONS-0024,LST-008447,FARM-0112,Onion,2023-05-25,4,10.89,43.56,24.7
ORD-000113,CONS-0727,LST-010491,FARM-0135,Onion,2023-06-01,8,11.77,94.16,17.2
ORD-000114,CONS-0795,LST-007341,FARM-0097,Tomato,2023-03-06,2,16.74,33.48,5.4
ORD-000115,CONS-0730,LST-001361,FARM-0016,Methi,2023-02-02,8,11.31,90.48,12.5
ORD-000116,CONS-0506,LST-003899,FARM-0050,Tomato,2023-11-30,5,15.67,78.35,10.5
ORD-000117,CONS-0044,LST-009777,FARM-0125,Elephant Yam (Suran),2023-02-25,1,35.36,35.36,5.7
ORD-000118,CONS-0589,LST-009311,FARM-0121,Potato,2023-10-07,9,25.55,229.95,7.9
ORD-000119,CONS-0086,LST-004168,FARM-0053,Onion,2023-04-25,8,10.58,84.64,26.4
ORD-000120,CONS-0047,LST-008007,FARM-0107,Potato,2023-10-26,1,18.63,18.63,9.6
ORD-000121,CONS-0727,LST-010522,FARM-0135,Tomato,2023-02-27,2,16.79,33.58,17.2
ORD-000122,CONS-0680,LST-001345,FARM-0016,Brinjal,2023-02-09,9,42.66,383.94,14.6
ORD-000123,CONS-0785,LST-003902,FARM-0050,Tomato,2023-03-05,2,13.59,27.18,11.2
ORD-000124,CONS-0650,LST-008217,FARM-0109,Methi,2023-02-22,6,4.75,28.5,11.9
ORD-000125,CONS-0257,LST-009789,FARM-0125,Elephant Yam (Suran),2023-05-17,2,18.33,36.66,5.8
ORD-000126,CONS-0670,LST-011003,FARM-0142,Peas,2023-03-16,1,28.69,28.69,5.8
ORD-000127,CONS-0646,LST-001966,FARM-0025,Tomato,2023-01-13,4,14.93,59.72,7.0
ORD-000128,CONS-0503,LST-001439,FARM-0017,Bhindi (Ladies finger),2023-04-07,3,42.17,126.51,7.2
ORD-000129,CONS-0467,LST-008436,FARM-0111,Methi,2023-01-31,1,20.48,20.48,10.1
ORD-000130,CONS-0396,LST-010359,FARM-0132,Methi,2023-10-25,3,29.34,88.02,8.6
ORD-000131,CONS-0338,LST-010363,FARM-0133,Potato,2023-10-18,6,19.34,116.04,4.2
ORD-000132,CONS-0272,LST-010358,FARM-0132,Methi,2023-09-13,4,16.49,65.96,9.7
ORD-000133,CONS-0337,LST-010532,FARM-0135,Tomato,2023-04-30,5,17.57,87.85,12.4
ORD-000134,CONS-0087,LST-010497,FARM-0135,Onion,2023-06-27,5,13.92,69.6,15.4
ORD-000135,CONS-0286,LST-003106,FARM-0041,Onion,2023-06-09,8,14.98,119.84,7.2
ORD-000136,CONS-0611,LST-003024,FARM-0040,Methi,2023-01-26,3,15.82,47.46,8.1
ORD-000137,CONS-0658,LST-011115,FARM-0142,Methi,2023-02-22,2,5.03,10.06,5.6
ORD-000138,CONS-0310,LST-000449,FARM-0006,Potato,2023-09-28,1,18.18,18.18,18.1
ORD-000139,CONS-0632,LST-001784,FARM-0022,Methi,2023-07-28,4,10.27,41.08,18.8
ORD-000140,CONS-0188,LST-010570,FARM-0136,Garlic,2023-01-31,3,58.94,176.82,9.1
ORD-000141,CONS-0044,LST-001454,FARM-0017,Methi,2023-06-15,6,14.68,88.08,7.7
ORD-000142,CONS-0683,LST-008955,FARM-0117,Brinjal,2023-02-10,3,43.82,131.46,4.0
ORD-000143,CONS-0503,LST-000383,FARM-0005,Onion,2023-10-07,8,24.54,196.32,4.1
ORD-000144,CONS-0077,LST-002479,FARM-0031,Elephant Yam (Suran),2023-03-31,7,19.49,136.43,9.4
ORD-000145,CONS-0596,LST-010699,FARM-0138,Brinjal,2023-04-14,2,29.38,58.76,11.6
ORD-000146,CONS-0392,LST-009820,FARM-0126,Potato,2023-03-15,3,13.68,41.04,12.4
ORD-000147,CONS-0007,LST-006066,FARM-0080,Bhindi (Ladies finger),2023-09-21,5,22.34,111.7,10.2
ORD-000148,CONS-0573,LST-004985,FARM-0062,Brinjal,2023-06-03,6,23.23,139.38,4.2
ORD-000149,CONS-0360,LST-004071,FARM-0052,Methi,2023-08-02,2,7.47,14.94,8.5
ORD-000150,CONS-0691,LST-011112,FARM-0142,Methi,2023-11-21,5,6.58,32.9,4.8
ORD-000151,CONS-0470,LST-011097,FARM-0142,Methi,2023-11-07,8,10.01,80.08,4.1
ORD-000152,CONS-0150,LST-008973,FARM-0117,Elephant Yam (Suran),2023-12-24,5,28.7,143.5,2.6
ORD-000153,CONS-0356,LST-000889,FARM-0010,Onion,2023-09-12,1,20.26,20.26,11.4
ORD-000154,CONS-0080,LST-008585,FARM-0113,Elephant Yam (Suran),2023-03-29,9,32.16,289.44,17.7
ORD-000155,CONS-0328,LST-000429,FARM-0005,Elephant Yam (Suran),2023-06-20,2,27.35,54.7,6.1
ORD-000156,CONS-0614,LST-001835,FARM-0023,Tomato,2023-07-18,2,16.01,32.02,16.3
ORD-000157,CONS-0400,LST-005418,FARM-0068,Elephant Yam (Suran),2023-09-08,7,23.64,165.48,15.2
ORD-000158,CONS-0192,LST-011196,FARM-0144,Brinjal,2023-03-13,9,18.19,163.71,6.1
ORD-000159,CONS-0324,LST-008376,FARM-0110,Tomato,2023-03-15,8,16.82,134.56,8.4
ORD-000160,CONS-0210,LST-010624,FARM-0136,Green Chilli,2023-10-04,8,47.17,377.36,15.1
ORD-000161,CONS-0524,LST-000558,FARM-0006,Methi,2023-03-08,5,6.27,31.35,11.2
ORD-000162,CONS-0170,LST-010663,FARM-0137,Bhindi (Ladies finger),2023-07-13,7,22.63,158.41,4.6
ORD-000163,CONS-0046,LST-000568,FARM-0007,Methi,2023-09-09,6,13.15,78.9,0.5
ORD-000164,CONS-0170,LST-009389,FARM-0121,Methi,2023-03-03,7,8.55,59.85,8.5
ORD-000165,CONS-0278,LST-010674,FARM-0137,Bhindi (Ladies finger),2023-08-15,7,20.22,141.54,6.4
ORD-000166,CONS-0177,LST-010379,FARM-0133,Potato,2023-04-13,9,12.25,110.25,8.5
ORD-000167,CONS-0670,LST-001319,FARM-0015,Methi,2023-06-29,5,13.17,65.85,6.2
ORD-000168,CONS-0616,LST-006084,FARM-0081,Onion,2023-04-07,4,11.01,44.04,15.9
ORD-000169,CONS-0719,LST-008432,FARM-0111,Methi,2023-08-22,8,7.29,58.32,7.7
ORD-000170,CONS-0540,LST-001788,FARM-0022,Methi,2023-08-07,8,8.6,68.8,12.9
ORD-000171,CONS-0658,LST-005154,FARM-0064,Tomato,2023-12-04,2,17.13,34.26,11.1
ORD-000172,CONS-0026,LST-005373,FARM-0067,Methi,2023-09-11,7,11.9,83.3,9.0
ORD-000173,CONS-0694,LST-000033,FARM-0000,Tomato,2023-12-28,1,14.38,14.38,20.2
ORD-000174,CONS-0753,LST-000450,FARM-0006,Potato,2023-01-25,4,21.53,86.12,17.6
ORD-000175,CONS-0547,LST-000721,FARM-0009,Onion,2023-02-07,2,14.03,28.06,20.4
ORD-000176,CONS-0659,LST-010716,FARM-0138,Brinjal,2023-08-28,8,30.38,243.04,11.5
ORD-000177,CONS-0077,LST-005022,FARM-0062,Elephant Yam (Suran),2023-03-26,6,20.43,122.58,6.7
ORD-000178,CONS-0333,LST-007575,FARM-0100,Onion,2023-02-22,9,9.0,81.0,26.4
ORD-000179,CONS-0075,LST-000522,FARM-0006,Methi,2023-11-13,1,12.26,12.26,17.7
ORD-000180,CONS-0338,LST-010949,FARM-0141,Elephant Yam (Suran),2023-11-28,7,26.43,185.01,8.7
ORD-000181,CONS-0526,LST-003630,FARM-0047,Onion,2023-04-10,6,9.58,57.48,21.4
ORD-000182,CONS-0526,LST-009130,FARM-0119,Tomato,2023-04-27,3,15.37,46.11,1.8
ORD-000183,CONS-0625,LST-000155,FARM-0001,Methi,2023-06-22,1,20.32,20.32,15.9
ORD-000184,CONS-0204,LST-005139,FARM-0064,Tomato,2023-05-05,8,15.74,125.92,19.5
ORD-000185,CONS-0501,LST-001577,FARM-0019,Potato,2023-03-17,4,15.74,62.96,3.0
ORD-000186,CONS-0199,LST-000372,FARM-0005,Onion,2023-09-01,1,21.86,21.86,8.1
ORD-000187,CONS-0300,LST-000027,FARM-0000,Tomato,2023-10-13,8,17.98,143.84,14.5
ORD-000188,CONS-0698,LST-000235,FARM-0002,Methi,2023-02-27,9,6.68,60.12,4.9
ORD-000189,CONS-0683,LST-011089,FARM-0142,Methi,2023-05-11,8,9.32,74.56,6.3
ORD-000190,CONS-0487,LST-008420,FARM-0111,Methi,2023-06-01,5,15.6,78.0,5.3
ORD-000191,CONS-0106,LST-010022,FARM-0128,Brinjal,2023-11-12,1,13.3,13.3,20.4
ORD-000192,CONS-0050,LST-006510,FARM-0086,Tomato,2023-06-29,1,17.1,17.1,8.1
ORD-000193,CONS-0481,LST-002576,FARM-0033,Tomato,2023-04-10,6,17.39,104.34,9.2
ORD-000194,CONS-0686,LST-005028,FARM-0062,Elephant Yam (Suran),2023-09-19,6,31.21,187.26,1.6
ORD-000195,CONS-0301,LST-006514,FARM-0086,Tomato,2023-08-03,7,17.26,120.82,5.4
ORD-000196,CONS-0131,LST-000045,FARM-0000,Bhindi (Ladies finger),2023-04-27,5,26.44,132.2,18.4
ORD-000197,CONS-0138,LST-005366,FARM-0067,Methi,2023-02-06,4,11.38,45.52,11.5
ORD-000198,CONS-0537,LST-003097,FARM-0041,Onion,2023-06-15,7,14.59,102.13,10.6
ORD-000199,CONS-0052,LST-008136,FARM-0108,Brinjal,2023-03-19,3,21.25,63.75,17.9
ORD-000200,CONS-0255,LST-010630,FARM-0136,Green Chilli,2023-08-08,1,55.34,55.34,11.3
ORD-000201,CONS-0583,LST-003796,FARM-0048,Peas,2023-02-23,6,25.22,151.32,12.4
ORD-000202,CONS-0647,LST-010539,FARM-0135,Tomato,2023-07-26,5,14.66,73.3,11.6
ORD-000203,CONS-0431,LST-007821,FARM-0104,Potato,2023-06-17,2,20.63,41.26,6.7
ORD-000204,CONS-0554,LST-006498,FARM-0086,Tomato,2023-05-31,1,14.77,14.77,3.5
ORD-000205,CONS-0653,LST-010515,FARM-0135,Onion,2023-05-31,2,12.71,25.42,9.6
ORD-000206,CONS-0751,LST-005687,FARM-0074,Methi,2023-11-19,5,12.94,64.7,12.7
ORD-000207,CONS-0740,LST-011109,FARM-0142,Methi,2023-12-18,2,10.38,20.76,2.6
ORD-000208,CONS-0037,LST-009838,FARM-0126,Potato,2023-02-10,4,14.87,59.48,6.7
ORD-000209,CONS-0117,LST-007331,FARM-0097,Tomato,2023-08-02,8,17.4,139.2,9.9
ORD-000210,CONS-0151,LST-004066,FARM-0052,Methi,2023-05-23,5,10.6,53.0,3.1
ORD-000211,CONS-0571,LST-002575,FARM-0033,Tomato,2023-10-03,9,16.0,144.0,9.6
ORD-000212,CONS-0176,LST-005061,FARM-0063,Bhindi (Ladies finger),2023-06-15,1,21.75,21.75,9.7
ORD-000213,CONS-0739,LST-000385,FARM-0005,Onion,2023-02-21,1,11.98,11.98,7.7
ORD-000214,CONS-0734,LST-007130,FARM-0093,Tomato,2023-05-31,1,15.05,15.05,4.9
ORD-000215,CONS-0381,LST-010087,FARM-0129,Brinjal,2023-06-09,6,31.7,190.2,10.1
ORD-000216,CONS-0645,LST-007144,FARM-0093,Tomato,2023-01-04,8,17.38,139.04,6.2
ORD-000217,CONS-0473,LST-000204,FARM-0002,Methi,2023-09-20,8,17.61,140.88,11.8
ORD-000218,CONS-0757,LST-000555,FARM-0006,Methi,2023-09-23,4,22.61,90.44,14.2
ORD-000219,CONS-0020,LST-006114,FARM-0081,Onion,2023-05-04,2,7.4,14.8,19.7
ORD-000220,CONS-0172,LST-008217,FARM-0109,Methi,2023-02-22,7,4.75,33.25,10.7
ORD-000221,CONS-0199,LST-008154,FARM-0108,Brinjal,2023-06-16,1,42.16,42.16,15.8
ORD-000222,CONS-0404,LST-009347,FARM-0121,Bhindi (Ladies finger),2023-11-17,1,25.84,25.84,7.1
ORD-000223,CONS-0638,LST-007805,FARM-0104,Potato,2023-11-28,7,19.45,136.15,7.5
ORD-000224,CONS-0161,LST-008435,FARM-0111,Methi,2023-09-02,3,13.03,39.09,6.3
ORD-000225,CONS-0703,LST-010328,FARM-0132,Methi,2023-05-26,1,11.88,11.88,6.5
ORD-000226,CONS-0049,LST-005208,FARM-0066,Potato,2023-11-19,3,20.86,62.58,11.5
ORD-000227,CONS-0573,LST-001304,FARM-0015,Methi,2023-08-26,2,10.61,21.22,11.5
ORD-000228,CONS-0775,LST-011199,FARM-0144,Brinjal,2023-10-22,8,39.57,316.56,3.5
ORD-000229,CONS-0064,LST-000429,FARM-0005,Elephant Yam (Suran),2023-06-20,5,27.35,136.75,6.5
ORD-000230,CONS-0389,LST-008944,FARM-0117,Brinjal,2023-09-26,4,27.92,111.68,12.5
ORD-000231,CONS-0538,LST-007911,FARM-0105,Onion,2023-02-04,6,16.59,99.54,10.0
ORD-000232,CONS-0552,LST-004443,FARM-0056,Bhindi (Ladies finger),2023-01-22,9,45.57,410.13,8.5
ORD-000233,CONS-0245,LST-008211,FARM-0109,Methi,2023-12-15,9,17.6,158.4,21.1
ORD-000234,CONS-0185,LST-010339,FARM-0132,Methi,2023-07-28,4,7.43,29.72,8.4
ORD-000235,CONS-0365,LST-006000,FARM-0080,Green Chilli,2023-03-01,8,40.8,326.4,3.9
ORD-000236,CONS-0460,LST-008381,FARM-0110,Tomato,2023-11-21,2,15.94,31.88,8.1
ORD-000237,CONS-0340,LST-005348,FARM-0067,Brinjal,2023-05-02,1,24.94,24.94,9.9
ORD-000238,CONS-0753,LST-001440,FARM-0017,Methi,2023-07-08,9,22.99,206.91,7.6
ORD-000239,CONS-0704,LST-001965,FARM-0025,Tomato,2023-10-19,1,15.54,15.54,8.5
ORD-000240,CONS-0609,LST-010486,FARM-0135,Onion,2023-07-13,3,18.6,55.8,11.3
ORD-000241,CONS-0351,LST-001454,FARM-0017,Methi,2023-06-15,7,14.68,102.76,1.9
ORD-000242,CONS-0644,LST-000522,FARM-0006,Methi,2023-11-13,1,12.26,12.26,8.5
ORD-000243,CONS-0107,LST-008421,FARM-0111,Methi,2023-06-05,4,18.62,74.48,3.3
ORD-000244,CONS-0334,LST-009822,FARM-0126,Potato,2023-11-16,8,17.73,141.84,10.7
ORD-000245,CONS-0393,LST-001477,FARM-0017,Methi,2023-02-01,4,15.15,60.6,12.2
ORD-000246,CONS-0694,LST-001428,FARM-0017,Bhindi (Ladies finger),2023-09-22,7,19.86,139.02,8.1
ORD-000247,CONS-0738,LST-001307,FARM-0015,Methi,2023-12-15,3,11.33,33.99,7.7
ORD-000248,CONS-0200,LST-010362,FARM-0133,Potato,2023-05-11,1,19.57,19.57,11.6
ORD-000249,CONS-0746,LST-003094,FARM-0041,Onion,2023-09-28,1,22.77,22.77,10.4
ORD-000250,CONS-0064,LST-000474,FARM-0006,Potato,2023-05-06,2,22.43,44.86,14.6
ORD-000251,CONS-0195,LST-010986,FARM-0141,Methi,2023-02-10,6,10.52,63.12,15.6
ORD-000252,CONS-0739,LST-001478,FARM-0017,Methi,2023-04-03,2,9.76,19.52,10.3
ORD-000253,CONS-0768,LST-001997,FARM-0025,Tomato,2023-11-06,2,14.48,28.96,2.9
ORD-000254,CONS-0392,LST-008093,FARM-0107,Tomato,2023-12-30,2,15.85,31.7,4.6
ORD-000255,CONS-0172,LST-005368,FARM-0067,Methi,2023-04-30,3,17.84,53.52,11.2
ORD-000256,CONS-0301,LST-006077,FARM-0080,Bhindi (Ladies finger),2023-07-28,4,29.68,118.72,2.7
ORD-000257,CONS-0195,LST-010379,FARM-0133,Potato,2023-04-13,6,12.25,73.5,7.7
